District,State,Year,Crops,Season,Soil_Type,Irrigation,Rainfall,Temperature,Area,Yield,Production,Fertilizer_kg_per_ha,Nitrogen,Phosphorus,Potassium,Humidity,Soil_pH,Crop_Category,Previous_Yield,Yield_Change,Rainfall_Distribution,Rainfall_Score,Weather_Forecast,Weather_Score,Soil_Fertility_Index,WSI_raw,Humidity_Factor,Irrigation_Factor,Season_Factor,Temp_Factor,Rainfall_Factor,Water_Stress_Index,Water_Stress_Level,Yield_Efficiency
Angul,Odisha,2015,Arhar,Rabi,Loamy,Canal,800.0,32.4,25271.0,0.700011871314946,17690.0,48.1,283.9,282.5,285.4,43.0,7.26,Pulse,1.2075,-0.5075000000000001,Moderate,2,Hot & Dry,1,0.5215230563703891,0.0404494382022471,1.15,0.95,1.0,1.0,1.0,0.044191011235955,Medium Stress,1.0
Angul,Odisha,2016,Arhar,Rabi,Loamy,Canal,1268.0,32.2,15862.0,1.380406001765225,21896.0,55.0,344.8,276.2,234.3,64.5,6.98,Pulse,0.7,0.6600000000000001,Good,3,Balanced,3,0.6486150693180088,0.0253743104806934,1.0,0.95,1.0,1.0,1.0,0.0241055949566587,Medium Stress,1.3270468588327011
Angul,Odisha,2017,Arhar,Kharif,Black,Rainfed,1485.0,26.1,18269.0,1.4728775521375006,26908.0,35.3,348.6,172.9,298.7,95.0,7.84,Pulse,1.36,0.0699999999999998,Good,3,Cool & Wet,4,0.4759475299964375,0.0175639300134589,0.85,1.2,0.9,1.0,1.0,0.0161236877523553,Low Stress,1.2435308995288004
Angul,Odisha,2018,Arhar,Rabi,Loamy,Canal,1156.0,30.4,11593.0,1.4003277840075907,16234.0,47.7,408.0,220.3,290.8,73.8,7.19,Pulse,1.43,-0.0899999999999998,Moderate,2,Balanced,3,0.6323227223911481,0.0262748487467588,1.0,0.95,1.0,1.0,1.0,0.0249611063094209,Medium Stress,0.9876274577748803
Angul,Odisha,2019,Arhar,Rabi,Loamy,Canal,1254.0,29.7,9009.0,1.3038073038073037,11746.0,41.3,314.0,281.0,305.7,62.9,6.92,Pulse,1.34,-0.1100000000000001,Good,3,Balanced,3,0.5969967681631668,0.0236653386454183,1.0,0.95,1.0,1.0,1.0,0.0224820717131474,Medium Stress,0.9364161060969377
Angul,Odisha,2015,Black gram,Rabi,Loamy,Canal,802.0,28.8,9825.0,0.56,5502.0,33.4,288.9,187.9,205.1,56.2,7.33,Pulse,0.786,-0.2259999999999999,Moderate,2,Normal,2,0.408000545352165,0.035865504358655,1.0,0.95,1.0,1.0,1.0,0.0340722291407222,Medium Stress,1.0
Angul,Odisha,2016,Black gram,Kharif,Loamy,Rainfed,1800.0,27.0,8900.0,1.1266292134831462,10027.0,29.0,235.9,147.8,159.9,95.0,6.16,Pulse,0.56,0.55,Heavy,4,Cool & Wet,4,0.269165236038029,0.0149916712937257,0.85,1.2,0.9,1.0,0.9,0.0123861188228761,Low Stress,1.335953634001732
Angul,Odisha,2017,Black gram,Kharif,Loamy,Rainfed,1429.0,36.0,16821.0,0.648891266868795,10915.0,21.8,274.8,197.4,151.4,85.5,6.62,Pulse,1.11,-0.4800000000000001,Good,3,Cool & Wet,4,0.3502482926485409,0.0251748251748251,0.85,1.2,0.9,1.15,1.0,0.0265770629370629,Medium Stress,0.833507484512848
Angul,Odisha,2018,Black gram,Rabi,Black,Tube Well,1078.0,30.0,11848.0,0.7837609723160027,9286.0,40.9,411.5,272.4,400.0,64.9,7.99,Pulse,0.63,0.12,Moderate,2,Balanced,3,0.7907396367081077,0.0278035217794253,1.0,0.85,1.0,1.0,1.0,0.0236329935125115,Medium Stress,0.9187277602847838
Angul,Odisha,2019,Black gram,Rabi,Loamy,Canal,965.0,32.3,10843.0,0.9751913677026653,10574.0,28.5,390.7,211.9,188.8,61.6,6.25,Pulse,0.75,0.17,Moderate,2,Hot & Dry,1,0.5375203626533217,0.0334368530020703,1.0,0.95,1.0,1.0,1.0,0.0317650103519668,Medium Stress,1.215018323756411
